Progress update: steps=15838000, test inputs generated=605, failing inputs=0      (2024-08-08T21:13:09.300668500Z     287M used)
Progress update: steps=15839000, test inputs generated=605, failing inputs=0      (2024-08-08T21:13:09.310478600Z     19.9M used)
Progress update: steps=15840000, test inputs generated=605, failing inputs=0      (2024-08-08T21:13:09.319448800Z     26.7M used)
Progress update: steps=15840665, test inputs generated=605, failing inputs=0      (2024-08-08T21:13:09.325591600Z     31.4M used)
Normal method executions: 244
Exceptional method executions: 587

Average method execution time (normal termination):      0.00200
Average method execution time (exceptional termination): 0.0285
Approximate memory usage 31.4M
Explorer = ForwardGenerator(steps: 15840665, null steps: 15840060, num_sequences_generated: 605;
    allSequences: 605, regresson seqs: 602, error seqs: 0=0=0, invalid seqs: 0, subsumed_sequences: 0, num_failed_output_test: 3;
    sideEffectFreeMethods: 1115, runtimePrimitivesSeen: 38)

No error-revealing tests to output.

About to look for failing assertions in 594 regression sequences.

Regression test output:
Regression test count: 594
Writing regression JUnit tests...
Created file C:\Users\uzair\Documents\unisa\commons-csv\target\RegressionTest0.java
Created file C:\Users\uzair\Documents\unisa\commons-csv\target\RegressionTest1.java
Created file C:\Users\uzair\Documents\unisa\commons-csv\target\RegressionTest.java
Wrote regression JUnit tests.
About to look for flaky methods.

Invalid tests generated: 0
